field_start,institution,trust_mean,color
2010-06-24,Europaeischer Gerichtshof fuer Menschenrechte,7.11830131445905,Andere
2010-06-24,Bundesverfassungsgericht,7.71866028708134,Bundesverfassungsgericht
2010-06-24,Bundestag,5.276981852913085,Andere
2010-06-24,Bundesregierung,4.583412774070544,Andere
2010-06-24,Bundesrat,5.161228406909789,Andere
2011-05-23,Europaeischer Gerichtshof fuer Menschenrechte,6.7611788617886175,Andere
2011-05-23,Bundesverfassungsgericht,7.3426640926640925,Bundesverfassungsgericht
2011-05-23,Bundestag,5.258220502901354,Andere
2011-05-23,Bundesregierung,4.671497584541063,Andere
2011-05-23,Bundesrat,5.189504373177843,Andere
2012-05-02,Europaeischer Gerichtshof fuer Menschenrechte,8.216441207075963,Andere
2012-05-02,Bundesverfassungsgericht,8.612348178137651,Bundesverfassungsgericht
2012-05-02,Bundestag,6.647357723577236,Andere
2012-05-02,Bundesregierung,6.279187817258883,Andere
2012-05-02,Bundesrat,6.550308008213553,Andere
2013-05-24,Europaeischer Gerichtshof fuer Menschenrechte,7.79074658254469,Andere
2013-05-24,Bundesverfassungsgericht,8.172482552342972,Bundesverfassungsgericht
2013-05-24,Bundestag,6.277445109780439,Andere
2013-05-24,Bundesregierung,6.096903096903097,Andere
2013-05-24,Bundesrat,6.299395161290323,Andere
2014-05-09,Europaeischer Gerichtshof fuer Menschenrechte,7.78803777544596,Andere
2014-05-09,Bundesverfassungsgericht,8.26973026973027,Bundesverfassungsgericht
2014-05-09,Bundestag,6.559679037111334,Andere
2014-05-09,Bundesregierung,6.3293413173652695,Andere
2014-05-09,Bundesrat,6.578947368421052,Andere
2015-06-05,Europaeischer Gerichtshof fuer Menschenrechte,7.689765458422174,Andere
2015-06-05,Bundesverfassungsgericht,8.175689479060265,Bundesverfassungsgericht
2015-06-05,Bundestag,6.429158110882957,Andere
2015-06-05,Bundesregierung,6.204684317718941,Andere
2015-06-05,Bundesrat,6.444902162718846,Andere
2016-06-03,Europaeischer Gerichtshof fuer Menschenrechte,7.754756871035941,Andere
2016-06-03,Bundesverfassungsgericht,8.28045035823951,Bundesverfassungsgericht
2016-06-03,Bundestag,6.597736625514403,Andere
2016-06-03,Bundesregierung,6.21025641025641,Andere
2016-06-03,Bundesrat,6.537981269510926,Andere
2017-06-16,Europaeischer Gerichtshof fuer Menschenrechte,7.719960278053625,Andere
2017-06-16,Bundesverfassungsgericht,8.457854406130268,Bundesverfassungsgericht
2017-06-16,Bundestag,6.760346487006737,Andere
2017-06-16,Bundesregierung,6.5796545105566215,Andere
2017-06-16,Bundesrat,6.783705140640155,Andere
